epoch,train_loss,train_cls_loss,train_attn_loss,train_qwk,val_loss,val_cls_loss,val_attn_loss,val_qwk,lr
1,1.4596598473462192,1.3281331116502935,0.4384224076162685,-0.15539009388151515,1.398026466369629,1.2660187482833862,0.44002576172351837,-0.33333333333333326,0.0001
2,1.454352324659174,1.3290209499272434,0.41777122020721436,-0.19286657859973566,1.39744637409846,1.2680646379788716,0.4312725017468135,-0.33333333333333326,9.960967771506667e-05
3,1.3965056159279563,1.2629303390329534,0.4452509162100879,-0.10256410256410242,1.3857311010360718,1.2540608048439026,0.4389008780320485,0.11111111111111116,9.844486647586725e-05
4,1.4100155938755383,1.28284874829379,0.423889470371333,0.08874172185430473,1.3766579230626423,1.2495885491371155,0.4235645929972331,-0.11111111111111116,9.652393605146846e-05
5,1.3763016787442295,1.2560073733329773,0.40098104016347363,-0.07499999999999973,1.3687442739804585,1.2378605802853901,0.43627897401650745,-0.33333333333333326,9.387718066217125e-05
6,1.3981099128723145,1.2778135646473279,0.4009877483953129,-0.048116492560936974,1.3665618896484375,1.2479644020398457,0.3953249404827754,-0.33333333333333326,9.054634122155992e-05
7,1.3733926036141135,1.248104138807817,0.4176281988620758,0.0917320458660229,1.3733218510945637,1.2522948781649272,0.4034232248862584,-0.11111111111111116,8.658394705735988e-05
8,1.3763348676941611,1.2598220976916226,0.38837586072358216,0.06903043614684656,1.3617803653081257,1.2302093903223674,0.4385698934396108,-0.33333333333333326,8.205248749256015e-05
9,1.3826549107378179,1.2634979486465454,0.3971898609941656,0.09282700421940926,1.3540342847506206,1.2373823523521423,0.3888397465149562,0.0,7.702342635146033e-05
10,1.3448116020722822,1.2271535938436335,0.3921933336691423,0.2748965956092906,1.3430334726969402,1.219351887702942,0.4122718870639801,-0.33333333333333326,7.15760749324711e-05
11,1.368419587612152,1.2533906860785051,0.38342968035827985,0.08927989573150863,1.3506981333096821,1.2438839673995972,0.3560471385717392,-0.33333333333333326,6.57963412215599e-05
12,1.3391139236363498,1.2263396978378296,0.37591407244855707,0.03796610169491532,1.3451334436734517,1.2406463027000427,0.3482903838157654,-0.33333333333333326,5.977537507199338e-05
13,1.3584541244940325,1.2430767525326123,0.3845912380651994,-0.07048173294536042,1.3536925713221233,1.257442315419515,0.3208341946204503,-0.11111111111111116,5.360813071670102e-05
