epoch,train_loss,val_loss,train_qwk,val_qwk,lr
1,1.8301204260141573,1.91185093410616,0.504905346787769,0.6366356359491607,5e-05
2,1.4939405847424623,1.860347053868984,0.6386657343502388,0.6726254875311384,4.9806810182204715e-05
3,1.39306530264989,1.6891011382506145,0.6893289672334812,0.727205657728416,4.9230287447651464e-05
4,1.3389510224080037,1.6847972869873047,0.7210403194451658,0.7395393631659624,4.827952390426216e-05
5,1.2626693111012075,1.7513339519500732,0.7662828084423606,0.7363421756599772,4.696951366107466e-05
6,1.230345351930045,1.6315975562343752,0.7595024242645779,0.7478066402890073,4.532091636218621e-05
7,1.1853488120564655,1.5953856134802344,0.8101543244001288,0.7704259676238661,4.335973137182458e-05
8,1.1287684415015706,1.6028338547159986,0.8167560423668986,0.7778414775756425,4.111688774884289e-05
9,1.1263688560765701,1.7164582144923326,0.8327065231002206,0.7347335150601547,3.862775647698541e-05
10,1.108494860323904,1.415393351781659,0.8305912853957045,0.8144968123638431,3.5931592643344276e-05
11,1.0622352820598275,1.4787492408015863,0.849887968019282,0.7935197793449085,3.3070916362186205e-05
12,1.0760498115743353,1.3939781675978404,0.8573572315195358,0.7843524392034172,3.0090842207350255e-05
13,1.0268613249977674,1.4075666460079876,0.8622608484103331,0.792864330885197,2.703836772846818e-05
14,1.004163571844803,1.4159553588890448,0.8792428619605296,0.826388521523346,2.3961632271531826e-05
15,0.9740371011151858,1.5016107064921682,0.8707921073879881,0.765101608647065,2.090915779264975e-05
